141
80
0,3,0
1,10,0
2,10,0
3,10,0
4,10,0
5,0,0
6,73,0
7,73,0
8,0,0
9,73,0
10,88,0
11,3,0
12,3,0
13,14,0
14,20,0
15,37,0
16,15,0
17,34,0
18,20,0
19,18,0
20,66,0
21,20,0
22,94,0
23,18,0
24,11,0
25,73,0
26,73,0
27,1,0
28,4,0
29,11,0
30,1,0
31,4,0
32,37,0
33,37,0
34,20,0
35,15,0
36,32,0
37,21,0
38,42,0
39,57,0
40,57,0
41,57,0
42,57,0
43,47,0
44,55,0
45,57,0
46,55,0
47,57,0
48,49,0
49,36,0
50,69,0
51,15,0
52,69,0
53,69,0
54,37,0
55,57,0
56,55,0
57,10,0
58,10,0
59,120,0
60,37,0
61,57,0
62,60,0
63,37,0
64,60,0
65,37,0
66,57,0
67,44,0
68,33,0
69,33,0
73,1,0
74,73,0
75,73,0
76,73,0
77,80,0
78,88,0
79,88,0
81,79,0
82,79,0
83,85,0
84,76,0
85,91,0
86,80,0
87,88,0
88,80,0
89,87,0
90,76,0
91,76,0
92,76,0
93,120,0
94,124,0
95,96,0
96,59,0
97,6,0
98,75,0
99,119,0
100,33,0
101,59,0
102,63,0
103,33,0
104,10,0
105,1,0
106,56,0
107,116,0
108,1,0
109,1,0
110,1,0
111,1,0
112,1,0
113,10,0
114,10,0
115,10,0
116,10,0
117,10,0
118,10,0
119,6,0
120,57,0
121,93,0
122,93,0
123,76,0
124,76,0
125,63,0
126,127,0
127,130,0
128,139,0
129,64,0
130,64,0
131,21,0
132,123,0
133,124,0
134,57,0
135,20,0
136,50,0
137,103,0
138,50,0
139,50,0
140,64,0
0,3,1
1,10,1
2,10,1
3,10,1
4,10,1
5,0,1
6,73,1
7,73,1
8,0,1
9,73,1
10,88,1
11,3,1
12,3,1
13,14,1
14,20,1
15,37,1
16,15,1
17,34,1
18,20,1
19,18,1
20,66,1
21,20,1
22,94,1
23,18,1
24,11,1
25,73,1
26,73,1
27,1,1
28,4,1
29,11,1
30,1,1
31,4,1
32,37,1
33,37,1
34,20,1
35,15,1
36,32,1
37,21,1
38,42,1
39,57,1
40,57,1
41,57,1
42,57,1
43,47,1
44,55,1
45,57,1
46,55,1
47,57,1
48,49,1
49,36,1
50,69,1
51,15,1
52,69,1
53,69,1
54,37,1
55,57,1
56,55,1
57,10,1
58,10,1
59,120,1
60,37,1
61,57,1
62,60,1
63,37,1
64,60,1
65,37,1
66,57,1
67,44,1
68,33,1
69,33,1
73,1,1
74,73,1
75,73,1
76,73,1
77,80,1
78,88,1
79,88,1
81,79,1
82,79,1
83,85,1
84,76,1
85,91,1
86,80,1
87,88,1
88,80,1
89,87,1
90,76,1
91,76,1
92,76,1
93,120,1
94,124,1
95,96,1
96,59,1
97,6,1
98,75,1
99,119,1
100,33,1
101,59,1
102,63,1
103,33,1
104,10,1
105,1,1
106,56,1
107,116,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,10,1
114,10,1
115,10,1
116,10,1
117,10,1
118,10,1
119,6,1
120,57,1
121,93,1
122,93,1
123,76,1
124,76,1
125,63,1
126,127,1
127,130,1
128,139,1
129,64,1
130,64,1
131,21,1
132,123,1
133,124,1
134,57,1
135,20,1
136,50,1
137,103,1
138,50,1
139,50,1
140,64,1
